loan_yy;loan_mm;loan_dd;amount;duration;birth_yy;birth_mm;birth_dd;gender;district_id;inhabitants;cities;ratio_urban;avg_salary;unemploy_95;unemploy_96;dif_unemp;entrep;crimes_95;crimes_96;dif_crimes;response
94;1;5;80952;24;45;2;4;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;4;29;30276;12;39;4;23;0;21;103347;7;670;9104;1.51;2.07;0.56;123;2299;2354;55;0
97;12;8;30276;12;62;2;9;1;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
98;10;14;318480;60;52;8;26;1;20;70646;4;584;8547;2.65;3.64;0.99;120;1563;1542;-21;0
98;4;19;110736;48;40;1;30;0;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
96;5;2;165960;24;44;6;13;0;16;93931;8;569;8427;1.12;1.54;0.42;107;1874;1913;39;1
97;8;10;102876;12;42;1;28;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
97;12;6;265320;36;67;9;21;1;44;105606;7;530;8254;2.79;3.76;0.97;97;2166;2325;159;0
98;12;5;352704;48;50;12;27;0;21;103347;7;670;9104;1.51;2.07;0.56;123;2299;2354;55;1
97;9;8;162576;36;53;1;26;1;36;159617;9;852;9198;3.33;4.28;0.95;131;5796;6132;336;1
96;11;6;88440;12;45;7;3;0;40;128118;8;853;9317;6.49;7.07;0.58;97;6949;6872;-77;1
94;5;31;104808;12;39;11;30;1;66;125832;5;483;8512;3.51;4.12;0.61;102;2247;2103;-144;1
97;4;10;27456;12;67;9;24;1;71;161227;10;697;8678;5.93;5.57;-0.36;102;4980;4595;-385;1
98;7;12;109344;12;44;10;25;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
98;12;2;160920;36;71;10;19;1;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
94;11;3;123696;48;40;8;27;1;56;124605;8;460;8772;4.69;4.98;0.29;126;2854;3158;304;1
98;5;30;112752;36;56;1;5;0;71;161227;10;697;8678;5.93;5.57;-0.36;102;4980;4595;-385;1
98;11;25;91248;48;73;1;8;0;14;177686;9;748;10045;1.42;1.71;0.29;135;6604;6295;-309;1
97;5;3;66840;24;39;5;17;0;15;58796;5;519;9045;3.13;3.60;0.47;124;1845;1879;34;1
